State,State_Code,Question_Short,Question_Full,Response,No_Of_Households
Andhra Pradesh,AP,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Yes,498
Assam,AS,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Yes,397
Bihar,BR,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Yes,1309
Chhattisgarh,CH,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Yes,359
Delhi,DL,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Yes,394
Gujarat,GJ,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Yes,788
Haryana,HR,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Yes,344
Himachal Pradesh,HP,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Yes,384
Jharkhand,JH,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Yes,374
Karnataka,KA,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Yes,759
Kerala,KL,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Yes,384
Madhya Pradesh,MP,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Yes,900
Maharashtra,MH,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Yes,1403
Odisha,OR,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Yes,558
Punjab,PB,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Yes,397
Rajasthan,RJ,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Yes,911
Tamil Nadu,TN,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Yes,939
Telangana,TS,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Yes,492
Uttar Pradesh,UP,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Yes,1416
Uttarakhand,UK,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Yes,379
West Bengal,WB,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Yes,957
Andhra Pradesh,AP,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Have connection but no electricity yet,0
Assam,AS,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Have connection but no electricity yet,1
Bihar,BR,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Have connection but no electricity yet,2
Chhattisgarh,CH,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Have connection but no electricity yet,0
Delhi,DL,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Have connection but no electricity yet,0
Gujarat,GJ,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Have connection but no electricity yet,0
Haryana,HR,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Have connection but no electricity yet,1
Himachal Pradesh,HP,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Have connection but no electricity yet,0
Jharkhand,JH,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Have connection but no electricity yet,0
Karnataka,KA,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Have connection but no electricity yet,1
Kerala,KL,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Have connection but no electricity yet,0
Madhya Pradesh,MP,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Have connection but no electricity yet,16
Maharashtra,MH,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Have connection but no electricity yet,1
Odisha,OR,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Have connection but no electricity yet,16
Punjab,PB,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Have connection but no electricity yet,0
Rajasthan,RJ,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Have connection but no electricity yet,6
Tamil Nadu,TN,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Have connection but no electricity yet,4
Telangana,TS,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Have connection but no electricity yet,0
Uttar Pradesh,UP,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Have connection but no electricity yet,4
Uttarakhand,UK,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Have connection but no electricity yet,0
West Bengal,WB,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,Have connection but no electricity yet,2
Andhra Pradesh,AP,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,No,0
Assam,AS,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,No,1
Bihar,BR,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,No,35
Chhattisgarh,CH,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,No,27
Delhi,DL,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,No,1
Gujarat,GJ,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,No,10
Haryana,HR,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,No,38
Himachal Pradesh,HP,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,No,0
Jharkhand,JH,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,No,12
Karnataka,KA,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,No,28
Kerala,KL,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,No,1
Madhya Pradesh,MP,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,No,48
Maharashtra,MH,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,No,5
Odisha,OR,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,No,12
Punjab,PB,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,No,0
Rajasthan,RJ,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,No,56
Tamil Nadu,TN,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,No,26
Telangana,TS,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,No,1
Uttar Pradesh,UP,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,No,128
Uttarakhand,UK,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,No,5
West Bengal,WB,Q301_grid_yn,Do you have government (or grid) electricity supply in your house?,No,21
Andhra Pradesh,AP,Q302_num_hh,How many hours a day is electricity usually available?,12-23 hours,358
Assam,AS,Q302_num_hh,How many hours a day is electricity usually available?,12-23 hours,357
Bihar,BR,Q302_num_hh,How many hours a day is electricity usually available?,12-23 hours,1229
Chhattisgarh,CH,Q302_num_hh,How many hours a day is electricity usually available?,12-23 hours,330
Delhi,DL,Q302_num_hh,How many hours a day is electricity usually available?,12-23 hours,63
Gujarat,GJ,Q302_num_hh,How many hours a day is electricity usually available?,12-23 hours,79
Haryana,HR,Q302_num_hh,How many hours a day is electricity usually available?,12-23 hours,257
Himachal Pradesh,HP,Q302_num_hh,How many hours a day is electricity usually available?,12-23 hours,134
Jharkhand,JH,Q302_num_hh,How many hours a day is electricity usually available?,12-23 hours,329
Karnataka,KA,Q302_num_hh,How many hours a day is electricity usually available?,12-23 hours,382
Kerala,KL,Q302_num_hh,How many hours a day is electricity usually available?,12-23 hours,94
Madhya Pradesh,MP,Q302_num_hh,How many hours a day is electricity usually available?,12-23 hours,469
Maharashtra,MH,Q302_num_hh,How many hours a day is electricity usually available?,12-23 hours,564
Odisha,OR,Q302_num_hh,How many hours a day is electricity usually available?,12-23 hours,441
Punjab,PB,Q302_num_hh,How many hours a day is electricity usually available?,12-23 hours,228
Rajasthan,RJ,Q302_num_hh,How many hours a day is electricity usually available?,12-23 hours,435
Tamil Nadu,TN,Q302_num_hh,How many hours a day is electricity usually available?,12-23 hours,398
Telangana,TS,Q302_num_hh,How many hours a day is electricity usually available?,12-23 hours,310
